楼盘名称,平米数,总价,单价
中铁六局央产房，电梯直达，满五年唯一，精装修,100.7平米,918,"91,162元/平"
源屋曲 3室2厅 南 北,144.54平米,1580,"109,313元/平"
西城区二环内采光好 中间层近地铁 满五年唯一 央产房,93.89平米,1150,"122,484元/平"
二环内 三线地铁环绕 商品房三居,119.99平米,990,"82,507元/平"
满五年 唯一 商品房 业主诚心出售,119.18平米,999,"83,823元/平"
新康街甲一号  满五唯一商品房 带车位 看房方便,94.95平米,1100,"115,851元/平"
新风南里，楼龄新，大面积，低单价，成本价优惠价性质,111.4平米,1375,"123,430元/平"
西单天安国汇  70年商品房 高层南向 采光好 视野开阔,134.42平米,1330,"98,944元/平"
金融街 丰汇园 南北三居挂东窗  期待有缘人,126.3平米,2270,"179,731元/平"
机械部汽南小区 通透 采光好 无遮挡 精装修,51.2平米,730,"142,579元/平"
马连道西里 东西两居室 精装修 自住,54.23平米,488,"89,988元/平"
铁二区带电梯精装南向一居 满五年 明厨明卫 高楼层,38.9平米,680,"174,808元/平"
小红庙 2室1厅 南 北,51.41平米,508,"98,814元/平"
教场口街9号院2003年电梯房,73.88平米,888,"120,195元/平"
西城区红居南街南北通透满五唯一看房随时不受非普限制,64.61平米,518,"80,174元/平"
二环内 东向两居 低楼层 满五年唯一  看房随时,50.08平米,499,"99,641元/平"
长椿街 有电梯 采光充足 视野开阔 有钥匙 随时看房,54.25平米,575,"105,991元/平"
西城马甸三室两卫 有电梯楼龄新 停车方便 中直管理好,119.05平米,1780,"149,518元/平"
德外大街乙12号院满五唯一出行方便能停车,71.2平米,850,"119,383元/平"
展览路 车公庄 南北两居室 采光充足 交通便利,57.8平米,630,"108,997元/平"
新街口东街，三居精装修，高层采光好，业主诚心出售,71平米,899,"126,620元/平"
物资部大院 南北向 两居室 全明格局,47.4平米,710,"149,790元/平"
展览路全明格局一室一厅电梯直达满五唯一，购房成本低,44.9平米,579,"128,954元/平"
二环内  白广路  6号院，钢铁设计院 满五唯一 央产房,61.76平米,535,"86,626元/平"
西直门地铁精装南北中间层，财政部央产，阳光好无遮挡,61.7平米,685,"111,022元/平"
陶然亭畅柳园+南北通透两居+满五年无抵押+有电梯,65.79平米,710,"107,920元/平"
红居南街 中间楼层，看房随时， 诚心出售,49.25平米,440,"89,341元/平"
产权清晰中间楼层诚意出售价格可谈,50.45平米,460,"91,180元/平"
二环内  钢铁设计院  白广路6号院， 满五年   央产房,54.32平米,525,"96,650元/平"
西城  广安门外 广华轩 精致三居室,106.36平米,920,"86,499元/平"
南北通透大三居全明格局南礼士路公园旁,81平米,1080,"133,334元/平"
西四北大街160号  西四北大街   160,58.9平米,860,"146,011元/平"
二环内，长椿街、90年电梯直达，满五年正规三居,70.5平米,660,"93,618元/平"
西城展览路大两居  全明格局中间层 精装修可拎包入住,65.4平米,750,"114,679元/平"
六铺炕三区满五唯一 一层田字格三居,87.8平米,990,"112,757元/平"
商圈聚焦优选 南北通透 270°采光 全明格局 有停车场,66.3平米,830,"125,189元/平"
冠英园小区 东西朝向 带电梯 两居室,63.9平米,865,"135,368元/平"
马甸南村带电梯 南北向 精装修两居 诚心出售了,65.9平米,838,"127,163元/平"
宣武门 庄胜二期 东西北向两居 对小区花园不临街,81.2平米,1130,"139,163元/平"
馨莲茗园 东北向二居，高楼层没遮挡,81.16平米,780,"96,107元/平"
店长推荐：新外大街甲8号院   满五年商品房  诚心出售,61.1平米,768,"125,696元/平"
广安门 乐城 两居室 户型方正 商品房 近地铁16号线,92.61平米,766,"82,713元/平"
铁二区 精装修 中间楼层 采光视野好 无遮挡,57.8平米,828,"143,253元/平"
店长推荐 西便门外大街西里 月坛 南礼士路地铁,68.2平米,808,"118,476元/平"
红莲南里 田字格户型三居 双卧朝南采光充足满五年唯一,70.7平米,670,"94,767元/平"
16号线红莲南路站300米 3层 满五唯一 95年正规两居,60.13平米,468,"77,832元/平"
凌云居西南向正规满五唯一商品房,84.26平米,780,"92,571元/平"
中信城三期北区 2014年交的房,90.48平米,1530,"169,099元/平"
西城区 两居室 楼层好 满五年 配套完善,49.78平米,465,"93,412元/平"
权盛里 满五年 低楼层南向一居 工行家属楼 随时签约,42.38平米,410,"96,744元/平"
广安苑一期 满五唯一单位分房 低楼层 好小区,34.26平米,435,"126,971元/平"
马甸南村  满五唯一成本价  户型方正   靠谱签约,79.4平米,1080,"136,021元/平"
